manik,
8900000505906,1
8900000506033,1
8900000506040,1
8900000506057,1
8900000506064,1
8900000506118,1
8900000506125,1
8900000506132,1
8900000506149,1
8900000505913,1
8900000505920,1
8900000505937,1
8900000505944,1
8900000506071,1
8900000506088,1
8900000506095,1
8900000506101,1
8900000505159,1
8900000505166,1
8900000505173,1
8900000505180,0
8900000504145,1
8900000504152,1
8900000504169,1
8900000504176,0
8900000506156,1
8900000506163,1
8900000506170,1
8900000506187,1
8900000505395,2
8900000505401,2
8900000505418,2
8900000505425,1
8900000506194,1
8900000506200,1
8900000506217,1
8900000506224,1
8900000506231,1
8900000506248,1
8900000506255,1
8900000506262,1
8900000503827,2
8900000503834,2
8900000503841,2
8900000503858,1
8900000503865,1
8900000503872,1
8900000503889,1
8900000503896,1
