manik,
8900000566853,1
8900000566860,0
8900000566884,1
8900000566891,1
8900000566907,0
8900000569786,1
8900000569793,1
8900000569809,1
8900000569816,0
8900000569823,0
8900000569830,1
8900000569847,1
8900000569854,0
8900000570027,1
8900000570034,1
8900000570041,1
8900000570058,0
8900000570065,0
8900000570072,1
8900000570089,1
8900000570096,0
8900000566914,1
8900000566921,1
8900000566938,1
8900000566945,0
8900000566952,0
8900000566969,1
8900000566976,1
8900000566983,0
8900000559213,1
8900000559220,1
8900000559237,1
8900000559244,0
8900000559251,0
8900000559268,1
8900000559275,1
8900000559282,0
8900000567232,1
8900000567249,1
8900000567256,1
8900000567263,1
8900000567270,0
8900000527342,1
8900000527359,1
8900000527366,1
8900000527373,1
8900000527274,1
8900000527281,1
8900000527298,1
8900000527304,1
8900000566792,1
8900000566808,1
8900000566815,1
8900000566822,0
8900000570102,1
8900000570119,1
8900000570126,1
8900000570133,0
8900000570140,0
8900000570157,1
8900000570164,1
8900000570171,0
ambekar,
8900000566846,1
8900000566853,1
8900000566860,0
8900000566884,1
8900000566891,1
8900000566907,0
8900000569786,1
8900000569793,1
8900000569809,1
8900000569816,0
8900000569823,0
8900000569830,1
8900000569847,1
8900000569854,0
8900000570027,1
8900000570034,1
8900000570041,1
8900000570058,0
8900000570065,0
8900000570072,1
8900000570089,1
8900000570096,0
8900000566914,1
8900000566921,1
8900000566938,1
8900000566945,0
8900000566952,0
8900000566969,1
8900000566976,1
8900000566983,0
8900000559213,1
8900000559220,1
8900000559237,1
8900000559244,0
8900000559251,0
8900000559268,1
8900000559275,1
8900000559282,0
8900000567232,1
8900000567249,1
8900000567256,1
8900000567263,1
8900000567270,0
8900000527342,1
8900000527359,1
8900000527366,1
8900000527373,1
8900000527274,1
8900000527281,1
8900000527298,1
8900000527304,1
8900000566792,1
8900000566808,1
8900000566815,1
8900000566822,0
8900000570102,1
8900000570119,1
8900000570126,1
8900000570133,0
8900000570140,0
8900000570157,1
8900000570164,1
8900000570171,0
kolhapur,
8900000566846,1
8900000566853,1
8900000566860,0
8900000566884,1
8900000566891,1
8900000566907,0
8900000569786,1
8900000569793,1
8900000569809,1
8900000569816,0
8900000569823,0
8900000569830,1
8900000569847,1
8900000569854,0
8900000570027,1
8900000570034,1
8900000570041,1
8900000570058,0
8900000570065,0
8900000570072,1
8900000570089,1
8900000570096,0
8900000566914,1
8900000566921,1
8900000566938,1
8900000566945,0
8900000566952,0
8900000566969,1
8900000566976,1
8900000566983,0
8900000559213,1
8900000559220,1
8900000559237,1
8900000559244,0
8900000559251,0
8900000559268,1
8900000559275,1
8900000559282,0
8900000567232,1
8900000567249,1
8900000567256,1
8900000567263,1
8900000567270,0
8900000527342,1
8900000527359,1
8900000527366,1
8900000527373,1
8900000527274,1
8900000527281,1
8900000527298,1
8900000527304,1
8900000566792,1
8900000566808,1
8900000566815,1
8900000566822,0
8900000570102,1
8900000570119,1
8900000570126,1
8900000570133,0
8900000570140,0
8900000570157,1
8900000570164,1
8900000570171,0
lksolapur,
8900000566846,1
8900000566853,1
8900000566860,0
8900000566884,1
8900000566891,1
8900000566907,0
8900000569786,1
8900000569793,1
8900000569809,1
8900000569816,0
8900000569823,0
8900000569830,1
8900000569847,1
8900000569854,0
8900000570027,1
8900000570034,1
8900000570041,1
8900000570058,0
8900000570065,0
8900000570072,1
8900000570089,1
8900000570096,0
8900000566914,1
8900000566921,1
8900000566938,1
8900000566945,0
8900000566952,0
8900000566969,1
8900000566976,1
8900000566983,0
8900000559213,1
8900000559220,1
8900000559237,1
8900000559244,0
8900000559251,0
8900000559268,1
8900000559275,1
8900000559282,0
8900000567232,1
8900000567249,1
8900000567256,1
8900000567263,1
8900000567270,0
8900000527342,1
8900000527359,1
8900000527366,1
8900000527373,1
8900000527274,1
8900000527281,1
8900000527298,1
8900000527304,1
8900000566792,1
8900000566808,1
8900000566815,1
8900000566822,0
8900000570102,1
8900000570119,1
8900000570126,1
8900000570133,0
8900000570140,0
8900000570157,1
8900000570164,1
8900000570171,0
